Model,N,Time
PC,10,0.01221919059753418
ISD-CP,10,0.7458670139312744
PC,20,0.021110057830810547
ISD-CP,20,1.2161498069763184
PC,30,0.07687020301818848
ISD-CP,30,1.9225351810455322
PC,40,0.1485881805419922
ISD-CP,40,2.4006850719451904
PC,50,0.5816190242767334
ISD-CP,50,3.263787031173706
