Epoch,Level,LR,Train_Loss,Train_Delta,Train_DAG,Train_H,Train_MAE,Train_SHD,Train_F1,Train_TPR,Train_FDR,Val_MAE,Val_F1,Val_TPR,Val_FDR
0,0,0.0002,189.3587,1.8936,0.5134,0.0000,2.1314,47.5000,0.0250,0.0223,0.4716,17.2932,0.1022,0.0908,0.8736
0,0,0.0002,1157.1064,11.5711,0.4662,0.0000,11.8155,79.5938,0.1428,0.2696,0.4029,19.5079,0.1969,0.1903,0.7940
0,0,0.0002,156.1719,1.5617,0.5182,0.0000,1.7884,80.5625,0.0645,0.0904,0.4498,28.1440,0.2515,0.9909,0.8558
0,0,0.0002,194.9160,1.9492,0.5001,0.0000,2.1881,91.9688,0.1056,0.2565,0.4335,16.6599,0.2646,0.8751,0.8438
0,0,0.0002,185.4010,1.8540,0.4315,0.0000,2.0948,24.5000,0.0000,0.0000,0.0000,14.6320,0.0000,0.0000,0.0000
0,0,0.0002,995.6857,9.9569,0.4657,0.0000,10.1433,75.9688,0.0950,0.1895,0.4366,6.5481,0.1775,0.3591,0.8813
